"거울 속의 그대 모습을 바라본적 있는가
부끄럽지 않은 삶인가 뜨거운 눈물 흘려본 적 언젠가
누굴 위해 살아왔는가 여긴 지금 어딘가
어릴 적 그대의 꿈들은 그저 그대가 만든 소설이었나
이젠 한번 생각해봐 그대 안에 다른 널 움츠리지 말고
너의 날개를 너의 미래를 향해 날아보는 거야
아주 작은 새의 몸짓도 이 세상 봄이 옴을 알게 하는데
(Can you see a whole new world)
부질없는 그대 몸짓은 그 누구에게도 느낄 수 없게 해
(No one knows the way you feel)
그대 아직 늦지 않았어 두 팔을 벌려 너의 날개를 펴고
(You can soar and touch the sky)
전설 속의 누군가처럼 그대의 미래를 향해 훨훨 날아봐

이젠 한번 생각해봐 그대 안에 다른 널 움츠리지 말고
너의 날개를 너의 미래를 향해 날아보는 거야
아주 작은 새의 몸짓도 이 세상 봄이 옴을 알게 하는데
(Can you see a whole new world)
부질없는 그대 몸짓은 그 누구에게도 느낄 수 없게 해
(No one knows the way you feel)
그대 아직 늦지 않았어 두 팔을 벌려 너의 날개를 펴고
(You can soar and touch the sky)
전설 속의 누군가처럼 그대의 미래를 향해 훨훨 날아봐
(We believe, we believe that you can fly)
진흙 속에 피는 꽃들도 그 어느 꽃보다 더 향기로운데
부질없는 그대 몸짓은 그 누구에게도 느낄 수 없게 해
(No one knows the way you feel)
그대 아직 늦지 않았어 두 팔을 벌려 너의 날개를 펴고
(You can soar and touch the sky)
전설 속의 누군가처럼 그대의 미래를 향해 훨훨 날아봐

",발라드
"어쩜 우린 복잡한 인연에
서로 엉켜있는 사람인가봐
나는 매일 네게 갚지도 못할만큼
많은 빚을 지고 있어
연인처럼 때론 남남처럼
계속 살아가도 괜찮은 걸까
그렇게도 많은 잘못과 잦은 이별에도
항상 거기 있는 너
날 세상에서 제대로 살게해 줄
유일한 사람이 너란걸 알아
나 후회없이 살아가기 위해
너를 붙잡아야 할테지만
내 거친 생각과 불안한 눈빛과
그걸 지켜보는 너
그건 아마도 전쟁같은 사랑
난 위험하니까 사랑하니까
너에게서 떠나줄꺼야

날 세상에서 제대로 살게해 줄
유일한 사람이 너란걸 알아
나 후회없이 살아가기 위해
너를 붙잡아야 할테지만
내 거친 생각과 불안한 눈빛과
그걸 지켜보는 너
그건 아마도 전쟁같은 사랑
난 위험하니까 사랑하니까
너에게서 떠나줄꺼야
너를 위해 떠날꺼야
",발라드
"참 많이 모질었었죠 나 당신께
나같지 않은 말땜에 놀랬겠죠
편할날이 없었죠 틀렸던 걸까봐
말없이 놓아준 그대가
정말로 내사랑 같아서
왜 그랬나요 울거면서
잘 가라는 듯 왜
그게 되나요 못보는게 그대가
그대를 음
참많이 오래 견디죠 나 당신을
조금만 멀리 보여도 보고싶죠
갚을게 많아서 못준게 많아서
혹시 날 못있고 산다면
꼭 한번 만나고 싶어서
잘지내나요 혼잔가요
나아닌 누군가와
사랑하나요 우릴 지운
그대가 나아닌 그대를
우리가 사랑했던게 간직 할 만한
슬픔이었음 해요
왜 그랬나요 울거면서
잘 가라는 듯 왜
그게 되나요 못보는게
그대가 그대를 음
우리 오래 오래 살아요
꼭 한번이라도 보게
못한 얘기들도 하구요
맛나는 것도 먹어요
우리 정말로 오래오래
살아요 천년만년
어쩌면 인연이 다하여
뜻하지 않은 어느 곳
그리 우리 다시 만나면
이제 편히 쉬게요",발라드
"다시 너를 볼 수 있을까
이렇게 너의 집까지 오고만 거야
넌 나를 떠나도 매일 널
바래다 준 습관 눈물로 남아서
소리없이 끊는 전화에


몸서리치게 네 모습 더욱 그리워
너의 그 따뜻한 목소리
이젠 더 이상은 내 것이 아닌데
잊었니 너와 나 사랑했던 날 모두
이젠 너의 기억 저멀리 잠든 추억인 거니
아직도 널 잊지 못해 견딜 수 없어
눈물로 하루를 삼키는 내게
제발 다시 돌아올 수 없겠니
너 없는 세상 어디에서도
숨쉴수 없는 날 위해
들어줄 넌 곁에 없지만
가만히 너의 이름을 혼자 불러봐
어쩌면 예전에 그랬던
내가 대답해 줄까 하는 미련에
잊었니 너와 나 사랑했던 날 모두
이젠 너의 기억 저멀리 잠든 추억인 거니
아직도 널 잊지 못해 견딜 수 없어
눈물로 하루를 삼키는 내게
제발 다시 돌아올 수 없겠니
너 없는 세상 어디에서도
숨쉴수 없는 날 위해",발라드
"묻고 싶어 너를 만나게 되면 나를 떠난 후 정말
괜찮은지 또 다른 누굴 만나 날 잊고 사는지
혹시 나와 같은지
그 누군가가 너를 물을 때마다 이젠 날 떠나
행복할 거라고 해
나 또한 알고싶어 너무 힘들어 너를 잊을 수 없어
사랑해, 사랑해
너의 사랑이 너무 필요해 기억해 날 잊지마 너를
너무 사랑해
너 하나만을 사랑한 죄밖에 없어 사랑 때문에
모든 걸 포기했어 이제 단 하나 나의 바램이
있다면 행복하게 살아줘
",발라드
"그대 두 손을 잡고 고개를 숙인채로
나를 용서해달라면서 난 많이 울었지
나의 긴 방황 끝에 결국 내가 찾은건
아직도 날 기다리고 있는 그대였었어
알아 그 동안 많이 들었어
그대가 나땜에 무척 힘들어 했었다는 걸
알아 순간의 나의 잘못이 얼마나 많은
상처로 그대를 괴롭혔는지
이젠 되돌려줄께 못다한 내 사랑이
오직 나 하나만 믿고 기다린 그대에게
내 모든 걸 다바쳐 나의 사랑속에서
이젠 그댈 편히 쉬게 할꺼야
그대 내 손을 잡고 날 감싸주면서
돌아왔으면 됐다면서 날 위로했지
수척해진 얼굴로 미소를 띄운채
내 두눈에 고인 눈물을 닦아주었지
알아 그 동안 많이 들었어
그대가 나땜에 무척 힘들어 했었다는 걸
알아 순간의 나의 잘못이 얼마나 많은
상처로 그대를 괴롭혔는지
이젠 되돌려줄께 못다한 내 사랑을
오직 나 하나만 믿고 기다린 그대에게
내 모든 걸 다바쳐 나의 사랑속에서
이젠 그댈 편히 쉬게 할꺼야
이젠 되돌려줄께 못다한 내 사랑을
오직 나 하나만 믿고 기다린 그대에게
내 모든 걸 다바쳐 나의 사랑속에서
이젠 그댈 편히 쉬게 할꺼야

",발라드
"아무 일도 내겐 없는 거야
처음부터 우린 모른 거야
워 넌 그렇게
날 보내 줄 수는 없겠니
이제라도 나를 잊어야해
그런 모습 쉽진 않겠지만
아직 날 기다리는
너를 알아 마음이 아파
차라리 나를 미워해
이제 그만 내게 미련 보이지마
두번 다시 넌 나를 찾지마
나로 인해 아파할 테니까
잔인한 여자라 나를 욕하지마
잠시 너를 위해 이별을 택한거야
잊지는마 내 사랑을
너는 내 안에 있어
길진 않을 거야
슬픔이 가기까지 영원히
차라리 나를 미워해
이제 그만 내게 미련 보이지마
두번 다시 넌 나를 찾지마
나로 인해 아파할 테니까
가져가 내게서 눈먼 너의 사랑을
모든 게 집착인걸
너도 알고 있잖아
지독했던 사랑 따윈 모두 지워버려줘
길진 않을 거야
마지막 순간까지 사랑해",댄스
"이제 다시는
니 맑은 두 눈에-
담겨진 내-모습
볼 수 없겠지
더이상
니 목소리로 깨-는
아침
이젠 없-을거야
너를 스쳐온 바람
귓가에 머물며-
먼 곳의 니-소식
들려주겠지
언젠가
또 다른 사랑으-로
만날
그날만 기다린다고--
그러지마
널 다시 만난다해도
모자란 내 사랑으로
넌 또 울텐데
넌 행복해야 해
하지만 난 아냐-
슬픔밖에 없던
나를 잊어

나의 웃는 소리에
나조차 놀라서-
서둘러 널- 다시
찾아내곤 해
조금씩 희미해지는
너의 기억
나를 더
힘들게만 해--
그러지마
널 모두 잊는다해도
내게 없던 사랑이
되지는 않잖아
나 살 수 있는건 아직도
내 안에- 살아있는 너야
사랑했어
이 세상 누구보다 더
너무 보고 싶어
견딜 수 없을만큼
내 부서진 영혼
조금만 추스려-
너를 보러갈게-
너무 보고 싶어",발라드
"Love is pain love is gone
나를 속였어 사랑없는
세상에 날 버렸어
Stilllove is dream
나는 행복해 넌 몰랐었니
Goodbye 세상엔 반은 남자
이미 다른 너의 모습 언젠가
내 앞에서 사라져 버릴 환상
그런데 나는 지금 무얼 상상
이미 난 네 머리속에 모든 것이
지워져 가고
함께 그 답답한 맘으로 살아야
한다는 생각에
그 어떤것도 무시해 버리는
성격에 아무 것도 되질 않아
네 모습을 봐 멀어지는 널
네안에 버려진 내 모습을 좀 봐
네안에 감춰왔던 너를 보여봐
너를 단념할 수 있게
네 곁에 스며있는 너의 그녀가
날 바보로 만들었어
나에게 사랑을 다 가르쳐준 널
잊을순 없지만
너의 그 다정했던 두 눈엔 항상
그녀뿐야 난 떠나갈래
Love is pain love is gone
나를 속였어 사랑없는 세상에
날 버렸어
Stilllove is dream
나는 행복해 넌 몰랐었니
Goodbye 세상엔 반은 남자
웃고있는 널 봐 뭐라 해도 널 봐
내 곁에 있지 않으려고 발버둥치는
너의 그 모습을 봐 봐 봐 언제까지
한눈팔지 않고 봐 봐 봐
나를 잡아준다더니 왜 울고있는
모습 내 모습 분해
지쳐나가 쓰러진 모습 내 모습
그런건 이제부터 필요없어
네안에 박혀 박힌 사라진 나야
버려진 나야
솔직히 생각하면 내가 아까워
너의 사랑이 되는 건
주위에 걸려있는 다른 매력에
내 마음은 흔들렸어
차라리 잘 됐어 널 지워줄게
네 사랑을 찾아서
언제나 그려왔던 내 바램들이
부르잖아 난 떠나갈래
Love is pain love is gone
나를 속였어 사랑없는 세상에
날 버렸어
Stilllove is dream 나는 행복해
넌 몰랐었니
Goodbye 세상엔 반은 남자
where is my love 내 모든걸
다 아낌없이 줄텐데
Love is pain love is gone
나를 속였어 사랑없는 세상에
날 버렸어
Stilllove is dream 나는 행복해
넌 몰랐었니
Goodbye 세상엔 반은 남자",댄스
"모두 제정신이 아니야 다들
미쳐가고만 있어
어느 누굴 믿어 어찌믿어
더는 못믿어
누가 누굴 욕하는거야 그러는
넌 얼마나 깨끗해
너나 할것없이 세상속에
속물들이야
바꿔 바꿔 바꿔 내 모든걸
다 바꿔 바꿔 바꿔
사랑도 다 바꿔 바꿔 바꿔 거짓은
다 바꿔 바꿔 바꿔 세상을 다 바꿔
THANGTH IT WAS A MUST
TO TRUST YOU NOW I CRUSH
YOU ANALYSIN MY BRAIN
너의 가식적인 사랑
나를 다시 사랑하길 바래
내가 다시 돌아오길 바래
그럼 바꾸길 바래 늦기전에
날 잡길 바래
한 여자의 지난 과거가 왜
용서받지 못할 일이야
맘에 걸렸다면 처음부터 왜
날 사랑해
모든 것이 변해버렸어 예전의
나로 착각하지마
나를 버린것을 후회해도
이미 늦었어
바꿔 바꿔 바꿔 내 모든걸
다 바꿔 바꿔 바꿔
사랑도 다 바꿔 바꿔
바꿔 거짓은
다 바꿔 바꿔 바꿔 세상을
다 바꿔 바꿔 바꿔 내 모든걸 다
바꿔 바꿔 바꿔
사랑도 다 바꿔 바꿔 바꿔
거짓은 다 바꿔 바꿔
바꿔 세상을
다 바꿔 바꿔",댄스
"홀로 텅 빈 방을 볼 때면
문득 그대 없음을 느끼죠
그대가 버린 이 도시속을 살아가요
어떤 좋은 것 볼 때마다
또한 그대있음이 그립죠
그대없이는 난 아무것도 아닌걸요
이젠 헤어지지 말아요
우린 헤어지면 안돼요
어쩌면 죽는날까지 어쩌면 그보다 더
미칠것만큼 사랑할 사람
그대니까요
너무 파란 하늘일때마다
많이 그대 생각을 하죠
나는 알아요 우린 헤어질 수 없다는걸
이젠 헤어지지 말아요
우린 헤어지면 안돼요
어쩌면 죽는날까지 어쩌면 그보다 더
미칠것만큼 사랑할 사람
그대니까요
잊어서도 안돼요
우리 사랑한것을 언제까지나

어쩌면 죽는 날까지 어쩌면 그보다 더
미칠것만큼 사랑할 사람
그대니까요
우리 헤어지지 말아요
우린 헤어지면 안돼요
어쩌면 죽는 날까지 어쩌면 그보다 더
미칠것만큼 사랑할 사람
그대니까요
",발라드
"사실이 아니길 믿고 싶었어
널 놓치기 싫었어
혹시나 우리의 사랑이 잘못 돼
끝나면 어떡해
가슴은 아프지만 모른척 해야해
이별보단 덜 아플 테니까
설마했던 네가 나를 떠나버렸어
설마했던 네가 나를 버렸어
깊었던 정을 쉽게 잊을 수 없어
늦었어 이미 난 네 여자야
오오오오오오오오 독한
여자라 하지마
오오오오오오오오
사랑했으니 책임져
다시는 사랑에 속지 않기를 나
간절히 바랬어
네가 내 인생의 마지막 남자가
돼 주길 바랬어
하지만 이게 뭐야 눈물 뿐이야
이제 남은건 절망 뿐이야
설마했던 네가 나를 떠나버렸어
설마했던 네가 나를 버렸어
깊었던 정을 쉽게 잊을 수 없어
늦었어 이미 난 네 여자야
오오오오오오오오
독한 여자라 하지마
오오오오오오오오
사랑했으니 책임져
날 봐 잘 봐 내 사랑을 다시 봐
와와 봐봐 이번이 마지막
뭣하러 뭣하러 떠나 날
뭣하러 뭣하러 버려
이제 잔소리 말고 내게로
다시 와줘 와줘",댄스
"우리 처음 만났던 순간처럼
설레임이 나에겐 아직 남아 있는데
널 사랑하는 마음은 아직까지
조금도 변함없이 아직 그대로인데
요즘 너는 내게서 조금씩 멀어져가고
더 이상은 우리 사이 예전같지 않아
나를 바보로 만들어버린 너의 미소도
이젠 더이상 찾을 수 없어
변한건 없다고 넌 얘기하고 있지만
너의 마음이 떠났다는걸 알아
이별의 준비를 너 하는거라면
내게 말해줘 그런거라면
영원한 사랑은 없다고 얘기 하지만
난 항상 너이기를 바랬어
헤어지는건 견딜수 있지만
널 보내진 못 할것 같아

그 누구도 날 구속할순 없다고
나는 생각했었지 너를 만나기 전엔
하지만 너는 사랑을 내게 가르쳐주고
너 없이는 하루라도 견딜수 없지만
나를 바보로 만들어 버린 너의 눈빛은
나는 이제 느낄수 없어
변한건 없다고 넌 얘기하고 있지만
너의 마음이 떠났다는걸 알아
이별의 준비를 너 하는거라면
내게 말해줘 그런거라면
영원한 사랑은 없다고 얘기 하지만
난 항상 너이기를 바랬어
헤어지는건 견딜수 있지만
널 보내진 못 할것 같아

",발라드
"잊어요 괜한 걱정마요 예전에 내가 말했잖아요
그대 가는 길가에 핀 이름모를 꽃처럼 있는 모습 그대로
지켜줘요 괜한 욕심말아요 언제나 내가 말하잖아요
여기 그대 눈 멀게한 소녀의 고운 미소
그리 영원하진 않아요
서방님 내 서방님 용서하세요
허락하려 할 수록 소녀는 우스워질테니
노여워 말아요 견뎌내야죠 처음부터 잘못택했었던
그대의 잘못인거죠

미워요 괜한 투정이죠 사실 내맘도 병들어가고 있죠
늘 그대 볼 수 있게 이대로 눈을 감고
달이 되어 살고 싶어요
서방님 내 서방님 알아주세요
정든님 넓은 가슴 멍들게 할 주제 못되니
노여워 않아요 견뎌내야죠 처음부터 떨치지 못했던
소녀의 잘못인거죠

우리의 잘못인거죠
오- 언제라도 그대뿐이에요(서방님 내 서방님 용서하세요)
시간이 끝-에 닿아도(무엇이 또 그누가 잘못이 있을지라도)
다시 산다해도 그댈 따르겟어요(노여워 말아요 기다려야죠)
그땔 기다려-요 우 그런날이 오겠죠(처음부터 사랑해도 좋은 그런 날이 오겠죠)

",발라드
"맥주처럼 새하얀 커품의 파도
모아논 어느 작은 섬 우리는 돛을 내려
투명한 아침 햇살은 삼페인처럼 터지고
더 이상 행복할수는 없을 것 같아 지금 우리
밤이면 후 라디오에선
먼 메아리처럼 사랑의 노래
너의 입속에 내 가슴에도 부푼 그 말은
사랑해 너를 언제까지나
oh Happy summer summer
너의 눈속에 쏟아진 별처럼 영원의 시간까지
너의 작은 어깨 기대면 텐트 속 어둠은
바다가 되지 나의 summer summer
하늘마저도 질투가 날만큼 너만을 사랑해
천국은 가까이 사랑하는 내 안에 있어
투명한 유리잔에 퍼 울리면 황금빛 와인이 되는
가슴에 담으면 모든것이 행복이 되는 천국처럼
common babe love me babe
사랑해 사랑해 나는 너를 사랑해
무박 이일, 둘 만의 기차여행에
어느새 들뜬 우리는 새처럼 자유롭지
가벼운 농담만으로 유리알처럼 뒹구는
해맑은 웃음 소리에 행복이 벌써 가득한걸
밤이면 후 라디오에선
먼 메이라처럼 사랑의 노래
너의 입속에 내 가슴에도 부푼 그 말은
사랑해 너를 언제까지나
oh happy summer summer
너의 눈속에 쏟아진 별처럼 영원의 시간까지
너의 작은 어깨 기대면 텐트 속 어둠은
바다가 되지 나의 summer summer
하늘마저도 질투가 날만큼 너만을 사랑해
천국은 가까이 사랑하는 내안에 있어
",댄스
